Title	Author	Star Rating	Review Count	Weeks on List
Harry Potter and the Chamber of Secrets	J.K. Rowling	4.8	5849	2
A Knight of the Seven Kingdoms	George R. R. Martin	4.4	2084	2
Second Hand Curses	Drew Hayes	4.6		1
Beowulf	Seamus Heaney (Translation)	4.3		1
I Am Watching You	Teresa Driscoll	4.5	10366	23
Dog Man: Brawl of the Wild	Dav Pilkey	4.9		5
Blood for Blood	Victoria Selman	4.2	1083	2
The Reckoning	John Grisham	3.8	5543	16
Small Town Rumors	Carolyn Brown	4.5	1277	1
Fahrenheit 451	Ray Bradbury	4.5	3447	1
A Discovery of Witches	Deborah Harkness	4.4	6643	1
Eye of the Needle	Ken Follett	4.6	1416	1
Bluff	Michael Kardos	4.5		1
An American Marriage	Tayari Jones	4.4	2834	13
Magic Hour	Kristin Hannah	4.6	1254	1
Never Never	James Patterson & Candice Fox	3.5		1
The Kiss Thief	LJ Shen	4.5	2086	4
The Snow Gypsy	Lindsay Jayne Ashford	4.5	2017	4
Taking Back His Bride	Madison Faye	3.8		3
A Merciful Fate	Kendra Elliot	4.7		3
An Anonymous Girl	Greer Hendricks & Sarah Pekkanen	4.1	1225	2
Free	Kristen Ashley	3.7		1
Pricked	Winter Renshaw	4.6		1
Boys of Brayshaw High	Meagan Brandy	4.7	1052	1
Black Leopard Red Wolf	Marlon James	3.2		1
Thanks from The Very Hungry Caterpillar	Eric Carle	4.8		1
Llama Llama I Love You	Anna Dewdney	4.6		2
Persuader	Lee Child	4.4	2611	1
Sense and Sensibility	Jane Austen	4.3	1468	1
The First Fifteen Lives of Harry August	Claire North	4.4	1182	1
Charming as Puck	Pippa Grant	4.7		1
Norse Mythology	Neil Gaiman	4.4	2052	4
A Killer's Mind	Mike Omer	4.6	5375	11
Connections in Death	J. D. Robb	4.4	1199	2
Lilac Girls	Martha Hall Kelly	4.6	6065	1
The Others	Jeremy Robinson	4.7		1
Girls of Glass	Brianna Labuskes	4.1		4
Locked Up Love	Alexa Riley	4.4		1
The Wedding Guest	Jonathan Kellerman			2
Mission Critical	Mark Greaney	4.7		1
Changeling	Molly Harper	4.4		1
The Chef	James Patterson & Max DiLallo	3.4		1
Jane Doe	Victoria Helen Stone	4.5		1
Never Tell	Lisa Gardner	4.7		1
The Forgotten Hours	Katrin Schumann	4.2	1231	8
Devil's Daughter	Lisa Kleypas	4.5		1
The Magnolia Inn	Carolyn Brown	4.3	1669	6
Beauty and the Billionaire	Lauren Landish	4.3		1
The Coroner	Jennifer Graeser Dornbush	4.2		1
The Killer Collective	Barry Eisler	4.3	2461	9
The Beantown Girls	Jane Healey	4.7	1946	3
Edge of Eternity	Ken Follett		10915	1
The Perfect Child	Lucinda Berry	4.2	2298	2
The Victory Garden	Rhys Bowen	4.5	1068	2
The Storyteller's Secret	Sejal Badani	4.7	7603	17
The Border	Don Winslow	3.7		1
The Secret Orphan	Glynis Peters	4.4		1
The Last Romantics	Tara Conklin	3.9		1
You Are My Happy	Hoda Kotb	4.9		1
Tumble	Adriana Locke	4.5		2
No Middle Name	Lee Child	4.3	1160	1
Pretty Girls	Karin Slaughter	4.1	3762	1
Defending Morgan	Susan Stoker	4.7		1
The Lake House	Kate Morton	4.5	2923	1
Bennett Mafia	Tijan	4.7		2
Act of Valor	Dick Couch & George Galdorisi	4.4		1
Flirting with the Frenemy	Pippa Grant	4.6		1
Celtic Empire	Clive Cussler & Dirk Cussler	4.6		1
Faking Forever	Catherine Bybee	4.7		2
Sin & Salvation	K.F. Breene	4.9		1
Stillhouse Lake	Rachel Caine	4.5	11449	11
The Other Woman	Daniel Silva	4.4	1969	6
Wolf Pack	C. J. Box	4.7		2
Surprise Delivery	R.R. Banks	3.7		5
Tiamat's Wrath	James S. A. Corey	4.8		1
Kissing Her	Alexa Riley	4.4		1
Renegades	Craig Alanson	4.6		1
Daisy Jones and the Six	Taylor Jenkins Reid	4.3	1125	4
Galaxy Outlaws	J. S. Morin	4.7		1
The Chemist	Stephenie Meyer	4.3	2388	1
The Clockmaker's Daughter	Kate Morton	3.5		1
Rock Bottom Girl	Lucy Score	4.7	1000	2
Cemetery Road	Greg Iles	4.1	1078	2
The First Lady	James Patterson & Brendan DuBois	4.5		3
Wishes and Wellingtons	Julie Berry	4.4		1
Junk	Les Bohem	3.1		1
Thick	Alexa Riley	4.1		4
The Savior	J.R. Ward	4.8		1
The Night Tiger	Yangsze Choo	4.3		1
Dune	Frank Herbert	4.6	3047	2
The Murderer's Son	Joy Ellis	4.3		1
Where the Forest Meets the Stars	Glendy Vanderah	4.6	4477	8
Secrets Never Die	Melinda Leigh	4.7		3
Supermarket	Bobby Hall	4.5		2
Home Again	Kristin Hannah	4.2		1
Circe	Madeline Miller	4.6	1831	4
The Rescue	Steven Konkoly	4.5	2001	7
God Gave Us Easter	Lisa Tawn Bergren	4.6		1
After	Anna Todd	4.1	1037	1
Mated to the Reaper	Alexa Riley	4.3		1
Solitude	Dean M. Cole	4.3		1
The German Midwife	Mandy Robotham	4.7		1
Surprise Marriage	R.R. Banks	4.2		1
The Quantum Magician	Derek Künsken	4.4		1
Die Trying	Lee Child	4.3	3481	1
A Curve in the Road	Julianne MacLean	4.2	2309	7
Nimona	Noelle Stevenson	4.7		1
Diary of an Awesome Friendly Kid	Jeff Kinney	4.7		2
Fortune Furlough	Jana DeLeon	4.8		1
I'm Fine and Neither Are You	Camille Pagán	4.2	1737	5
Bad Bad Bluebloods	C.M. Stunich	4.8		1
The Wife	Alafair Burke	4.2		1
Three Mages and a Margarita	Annette Marie	4.7		1
Wolfhunter River	Rachel Caine	4.5		1
Without Remorse	Tom Clancy	4.5	1214	1
Wed To The Warrior	Madison Faye	4.3		1
The Perfect Dress	Carolyn Brown	4.5		2
My Life in Shambles	Karina Halle	4.6		1
No Perfect Hero	Nicole Snow	4.5		2
Unfinished Business	Nora Roberts	4.3	1283	1
The Dispatcher	John Scalzi	4.4		2
Skyward	Brandon Sanderson	4.8		2
Daughters of the Lake	Wendy Webb	4.5	2657	4
Cold Waters	Debbie Herbert	4.2	1367	5
The Wonky Donkey	Craig Smith & Katz Cowley 	4.7	6222	16
Viking's Claim	Madison Faye	4.3		1
Storm Cursed	Patricia Briggs	4.7		1
The Eighth Sister	Robert Dugoni	4.5	1668	5
Unexpected Gift	R.S. Lively	4.2		3
Neon Prey	John Sandford	4.4	1108	3
The Tattooist of Auschwitz	Heather Morris	4.6	2828	6
Beauchamp Hall	Danielle Steel	4.4		1
Blessing in Disguise	Danielle Steel	4.6		1
Truth and Lies	Caroline Mitchell	4.5		1
Heads Will Roll	Emily Lynne & Kate McKinnon			3
The Odyssey	Homer	4.3	1780	1
The Mister	E L James	3.6	1705	4
The Tuscan Child	Rhys Bowen	4.3	4228	16
Pretty Reckless	L.J. Shen	4.7	1456	3
The Accomplice	John Grisham	4.1		1
The Night Window	Dean Koontz	4.7		1
A Game of Thrones 5-Book Boxed Set	George R. R. Martin	4.6	10492	2
Beneath a Scarlet Sky	Mark Sullivan	4.7	26771	64
Echo Burning	Lee Child	4.3	2960	1
Fire & Blood	George R. R. Martin	3.8	1056	8
Murder at Archly Manor	Sara Rosett	4.3		1
Strange Practice	Vivian Shaw	4.4		1
The 18th Abduction	James Patterson & Maxine Paetro	4.4	1035	4
The Priory of the Orange Tree	Samantha Shannon	4.4		1
Have You Seen Luis Velez?	Catherine Ryan Hyde	4.8	1020	1
Good Intentions	J. D. Trafford	4.5		1
Oh the Places You'll Go	Dr. Seuss	4.8	4729	13
Almost Paradise	Debbie Macomber	4.5		1
The Boy	Tami Hoag	4.6		1
A Clash of Kings	George R. R. Martin	4.6	4429	4
Trouble at Brayshaw High	Meagan Brandy	4.9		1
Next Girl to Die	Dea Poirier	4.2		2
Too Many	Alexa  Riley	4.5		1
Eleanor Oliphant Is Completely Fine	Gail Honeyman	4.6	5657	16
One Small Sacrifice	Hilary Davidson	4.4		1
Fall	Neal Stephenson	3.2		1
Unsolved	James Patterson & David Ellis	4.5		1
Searching for Sylvie Lee	Jean Kwok	4.2		1
Pretty Virgin	Alexa RIley	4.1		1
Faking Ms. Right	Claire Kingsley	4.7		2
The Perfect Husband	Lisa Gardner	4.2		1
The Lost Girls of Paris	Pam Jenoff	4.1		1
The Cactus	Sarah Haywood	3.9		2
Shadowspell Academy	K.F. Breene & Shannon Mayer	4.8		1
Winter Cottage	Mary Ellen Taylor	4.5	1226	3
The Other Wife	Michael Robotham	4.5		1
Neverwhere	Neil Gaiman	4.5	2561	5
A Game of Thrones	George R. R. Martin	4.6	10082	21
I Love Dad	Eric Carle	4.8		1
The Highlander's Forbidden Bride	Madison Faye	4.5		1
The Deep Deep Snow	Brian Freeman	4.4		1
The Golem and the Jinni	Helene Wecker	4.5	2879	1
Redemption	David Baldacci	4.6	1409	6
The Girl Who Lived	Christopher Greyson	4.3	1545	1
Restored	Alexa Riley	4.5		1
A Merciful Death	Kendra Elliot	4.5	4039	8
Nine Perfect Strangers	Liane Moriarty	3.5	2357	13
Running Blind	Lee Child	4.4	2972	1
I'll Never Tell	Catherine McKenzie	4.2		2
The Dark Bones	Loreth Anne White	4.6	1099	5
Good Omens	Neil Gaiman & Terry Pratchett	4.6	2361	5
Teardrop Shot	Tijan	4.8		1
A Trick of Light	Stan Lee & Kat Rosenfield	4.1		1
A Merciful Promise	Kendra Elliot	4.8		2
Missing Molly	Natalie Barelli	4.6		1
Whisper Network	Chandler Baker	3.9		1
The Only Woman in the Room	Marie Benedict	4.2		1
False Step	Victoria Helen Stone	3.8	1028	4
The Overstory	Richard Powers	4.3	1050	2
Don't Let Go	Harlan Coben	4.5	1443	5
Accidental Knight	Nicole Snow	4.4		5
A Fire Sparkling	Julianne MacLean	4.7	1329	2
Backlash	Brad Thor	4.8		3
Alter	Jeremy Robinson	4.7		1
Forgotten Bones	Vivian Barz	4.4	1000	2
All Grown Up	Vi Keeland	4.7		1
Then She Was Gone	Lisa Jewell	4.3	1418	3
Sold on a Monday	Kristina McMorris	4.3	1246	1
Next Year in Havana	Chanel Cleeton	4.4		2
Mrs. Everything	Jennifer Weiner	3.8		6
Red Metal	 Mark Greaney & H. Ripley Rawlings	4.6		1
Evvie Drake Starts Over	Linda Holmes	4.3		3
The Great Gatsby	F. Scott Fitzgerald	4.3	6245	1
Cajun Fried Felony	Jana DeLeon	4.9		1
The Singularity Trap	Dennis E. Taylor	4.3		2
Tripwire	Lee Child	4.4	3490	1
Level Five	William Ledbetter			1
Thrawn	Timothy Zahn	4.6		1
My Brother's Billionaire Best Friend	Max Monroe	4.5		1
The Last House Guest	Megan Miranda	3.9		1
Dark Age	Pierce Brown	4.6		1
Summer of '69	Elin Hilderbrand	4.3		7
Under Currents	Nora Roberts	4.5		5
Before We Were Yours	Lisa Wingate	4.7	10654	56
Adventures of Tom Stranger	Larry Correia	4.2		1
The Hobbit	J.R.R. Tolkien	4.7	9105	3
Ask Again Yes	Mary Beth Keane	4.2		2
Little Fires Everywhere	Celeste Ng	4.3	4579	43
Beloved	Toni Morrison	4.2	1025	1
The Bluest Eye	Toni Morrison	4.2		1
Outfox	Sandra Brown	4.3		1
A Dangerous Man	Robert Crais	4.4		1
Last Summer	Kerry Lonsdale	4.2		5
Winter World	A.G. Riddle	4.5		1
The New Girl	Daniel Silva	4.6	1108	5
Disney Storybook Collection Advent Calendar	IglooBooks		0	2
Look Alive Twenty-Five	Janet Evanovich	4.3	2121	1
A Column of Fire	Ken Follett	4.5	4021	10
Where'd You Go Bernadette	Maria Semple	4.2	6005	1
The Inn	James Patterson	3.8		2
The Overdue Life of Amy Byler	Kelly Harms	4.4	3197	11
The Accident	Natalie Barelli	4.3		1
The Art of Racing in the Rain	Garth Stein	4.7	8716	3
The Nickel Boys	Colson Whitehead	4.5		4
Old Bones	Douglas Preston & Lincoln Child	4.4		1
The Last Widow	Karin Slaughter			1
The Turn of the Key	Ruth Ware	4.1		3
Hellbent	Gregg Hurwitz	4.8		1
The Secrets of Lost Stones	Melissa Payne	4.7	1053	1
The Empty Nesters	Carolyn Brown	4.5		2
The Girl Who Lived Twice	David Lagercrantz	3.7		1
What You Did	Claire McGowan	4.3	1589	9
Bad Luck and Trouble	Lee Child	4.5	2159	1
One Good Deed	David Baldacci	4.2		7
City of Girls	Elizabeth Gilbert	4.2		13
I Hate You	Ilsa  Madden-Mills	4.7		2
Watchers	Dean Koontz	4.7	2287	3
Treasure Island	Robert Louis Stevenson et al.	3.8		1
Run Away	Harlan Coben	4.3	1029	4
The Secrets We Kept	Lara Prescott	3.9		1
What the Wind Knows	Amy Harmon	4.7	4002	11
The Conception of Terror	A. K. Benedict et al.	3.7		1
A Better Man	Louise Penny	4.6		2
Claiming Sarah	Susan Stoker	4.5		1
When We Believed in Mermaids	Barbara O'Neal	4.7		3
Butterfly in Frost	Sylvia Day			3
Here To Stay	Mark Edwards	4.2	1379	7
Vendetta in Death	J. D. Robb	4.3		2
The Testaments	Margaret Atwood	4.5		3
The Institute	Stephen King	4.5		3
Where the Crawdads Sing	Delia Owens	4.8	21937	55
Guts	Raina Telgemeier	4.5		2
The Handmaid's Tale	Margaret Atwood	4.1	15355	62
Save Your Breath	Melinda Leigh	4.8		1
The Goldfinch	Donna Tartt	3.8	26378	5
The Dressmaker's Gift	Fiona Valpy	4.8		3
The Silent Patient	Alex Michaelides	4.4	3425	33
Thin Air	Lisa Gray	4.3	1859	15
Quantum	Patricia Cornwell	2.2		3
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15382	98
Spring House	Mary Ellen Taylor	4.7		1
My Big Fat Fake Wedding	Lauren Landish	4.7		1
It	Stephen King	4.5	4273	13
Dog Man: For Whom the Ball Rolls	Dav Pilkey	4.9		6
Land of Wolves	Craig Johnson	4.4		1
Lying Next to Me	Gregg Olsen	4.4	1129	7
The Pillars of the Earth	Ken Follett	4.5	5606	1
Broken Knight	L.J. Shen	4.8	1641	5
