Title	Author	Star Rating	Review Count	Weeks on List
Sheltered	Alexa Riley	4.5	N/A	2
Matchmaking for Beginners	Maddie Dawson	4.6	3,649	4
Marriage of Inconvenience	Debbie Macomber	4.1	N/A	1
The Hideaway	Lauren K. Denton	4.5	3,228	8
Buried Prey	John Sandford	4.6	N/A	1
The Outsider	Stephen King	4.4	4,188	3
Shelter in Place	Nora Roberts	4.7	1,746	1
The President Is Missing	Bill Clinton & James Patterson	4.3	6,665	1
The Handmaid's Tale	Margaret Atwood	4.1	15,354	37
Little Fires Everywhere	Celeste Ng	4.3	4,579	33
Matchmaking for Beginners	Maddie Dawson	4.6	3,649	5
The Thinnest Air	Minka Kent	4.1	2,396	1
Lies That Bind Us	Andrew Hart	4.1	2,150	4
The Fallen	David Baldacci	4.6	2,668	8
The Great Alone	Kristin Hannah	4.6	7,163	18
Before We Were Yours	Lisa Wingate	4.7	10,654	46
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15,382	32
The Butterfly Garden	Dot Hutchison	4.3	16,094	1
The Heart of Devin MacKade	Nora Roberts	4.6	N/A	1
Beneath a Scarlet Sky	Mark Sullivan	4.7	26,771	48
The Tuscan Child	Rhys Bowen	4.3	4,228	10
The Hideaway	Lauren K. Denton	4.5	3,228	9
The Death of Mrs. Westaway	Ruth Ware	4.1	N/A	1
Less	Andrew Sean Greer	3.7	1,676	2
Ready Player One	Ernest Cline	4.6	19,096	35
The President Is Missing	Bill Clinton & James Patterson	4.3	6,665	2
The Outsider	Stephen King	4.4	4,188	4
Something in the Water	Catherine Steadman	3.8	1,262	1
The Thinnest Air	Minka Kent	4.1	2,396	2
The Handmaid's Tale	Margaret Atwood	4.1	15,354	38
Shelter in Place	Nora Roberts	4.7	1,746	2
Little Fires Everywhere	Celeste Ng	4.3	4,579	34
The Tuscan Child	Rhys Bowen	4.3	4,228	11
The Singularity Trap	Dennis E. Taylor	4.3	N/A	1
Brief Cases	Jim Butcher	4.7	N/A	1
Takeoff	Joseph Reid	4.3	1,911	1
Matchmaking for Beginners	Maddie Dawson	4.6	3,649	6
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15,382	33
Before We Were Yours	Lisa Wingate	4.7	10,654	47
After the Funeral	Agatha Christie	4.5	N/A	1
The Great Alone	Kristin Hannah	4.6	7,163	19
The Fallen	David Baldacci	4.6	2,668	9
Pretty Girl	Alexa Riley	4.6	N/A	1
When Life Gives You Lululemons	Lauren Weisberger	4.2	N/A	1
Less	Andrew Sean Greer	3.7	1,676	3
The President Is Missing	Bill Clinton & James Patterson	4.3	6,665	3
The Outsider	Stephen King	4.4	4,188	5
Something in the Water	Catherine Steadman	3.8	1,262	2
The Handmaid's Tale	Margaret Atwood	4.1	15,354	39
Before the Storm	Christie Golden	4.2	N/A	1
Little Fires Everywhere	Celeste Ng	4.3	4,579	35
The Thinnest Air	Minka Kent	4.1	2,396	3
Shelter in Place	Nora Roberts	4.7	1,746	3
The Tuscan Child	Rhys Bowen	4.3	4,228	12
Harry Potter and the Sorcerer's Stone	J.K. Rowling	4.7	15,382	34
